Hour,20Q,40Q,50Q,215Q,247Q,191Q,271Q,161Q,1L,2L,3L,RiverH,LakeH,10F,335F,10B,61B,10C,335C
12,-2312.50888067577,-1018.16429548474,-519.523142800388,221.221496282186,342.615479022165,-951.518907804269,-114.227999726015,-127.330533459791,160.886993408203,143.007019042969,164.130493164062,220,167,3334.82613762692,7074.29542847129,39.7813037923853,93.9005636960067,1,0
13,-2664.14774101814,-1138.05605489377,-518.83392291459,259.608060826608,344.125711907072,-1063.48210180186,-111.732614721863,-141.120490830881,162.276260375977,144.962219238281,164.99609375,220,167,3091.52262565411,7720.96735980135,40.5614382140193,94.3233841292992,1,0
14,-2122.1475149078,-797.484458763825,-463.205943252382,203.944961186034,300.573415155364,-909.862009155308,-89.5123906546859,-118.451126251975,163.767944335938,147.014007568359,165.994476318359,220,167,3001.37608548365,7864.81084322652,36.7389123295699,96.5682995895537,1,0
15,783.373820627494,1024.70805105027,-42.7681504188223,-749.209623285322,314.871160482132,-382.244165312382,-14.0523315170222,-87.0673370803055,164.902359008789,148.747955322266,166.832855224609,220,167,0,6809.93112944587,1.78704190218733,91.8335234916331,0,0
16,1708.43475563159,1202.88837677565,298.52300068824,-861.536602118318,447.296554959331,-327.322524185044,93.9061995683967,-60.3660978669822,163.480117797852,148.877090454102,166.529342651367,220,167,0,7668.20838795292,-6.14401480793324,95.3864373410077,0,0
17,3304.95069686752,1588.20039854891,845.345831822502,-1111.04165886876,638.857872107595,-337.378966248202,188.064881977609,-62.5329349441813,161.842788696289,147.511825561523,165.875778198242,220,167,0,7690.80523154475,-19.0690806986493,94.777431658045,0,0
18,4812.89051267411,2125.10798420749,1156.05947751249,-1260.76720323925,791.195581295936,-46.2338440371954,236.773101547105,-92.1710239825286,159.474624633789,144.045120239258,164.615921020508,220,167,0,8857.65223102061,-22.7189013379682,94.6014463701225,0,0
19,5442.77382092711,2289.34684891223,1319.37701447304,-1312.16539790951,855.885117172317,-108.537965642192,276.868858915352,-117.499941640713,156.396072387695,139.187515258789,162.782470703125,220,167,0,9057.85182808261,-26.6591735776336,92.2420187131536,0,0
20,4689.06645754117,1911.60166395099,1041.61617432163,-1181.35183739244,737.788387000757,-243.257406574096,224.705391447355,-116.341139984152,153.048812866211,133.669555664062,160.690063476562,220,167,0,8337.91979855285,-26.154884405374,90.396133114826,0,0
21,3266.60553974801,1171.06113029806,363.104732017118,-917.375580994121,602.372634582229,-718.774849327412,94.4570529383206,-105.083577361116,150.275436401367,129.556167602539,158.866989135742,220,167,0,8598.07409050495,-13.4492786479726,92.3596081437427,0,0
22,-2142.70227013939,-451.598795649342,-130.760451819829,-653.788099112303,493.422434743831,-1948.0206472192,-30.567177818793,-131.897044208969,148.828964233398,128.128845214844,158.016525268555,220,167,0,13454.2254536932,-5.70481837491449,129.197252412748,0,1
23,-3000.75080713268,-993.980750424073,-345.076338939034,-536.746820997385,390.998789295338,-2180.16629337972,-96.6965764531098,-121.055871676921,149.647720336914,128.706115722656,158.836853027344,220,167,0,13554.5534055517,-2.03882362323379,131.19609397682,0,1
24,842.449566704432,-618.155730050647,-337.548876644655,-507.814611675076,377.995232304031,-1527.41935141301,-75.0778514952639,-46.6718925880382,151.038131713867,130.203720092773,159.815322875977,220,167,0,7332.23309321555,-4.4997253944621,93.3471759985851,0,0
25,-1383.43939937251,-1181.23817757801,-464.724252026488,279.125129631023,362.84840237257,-1437.42652283807,-95.7207505689588,-100.46147680275,151.821624755859,131.643630981445,159.536437988281,220,167,3657.67824423221,7093.82739927681,36.6731547600658,97.9774479417011,1,0
26,-926.228835139907,-888.293531485045,-303.966439335873,192.652303067274,406.801065420595,-1175.47895022138,-66.1509459254232,-105.482833651362,153.49137878418,133.375350952148,160.059783935547,220,167,3566.45626927163,7861.75461000174,40.8441451865414,89.489037562425,1,0
27,-618.447912258245,-586.120132529833,-166.079516723803,73.3019447334224,443.255886914738,-1038.84966918293,-45.9745966856878,-113.798164574265,154.70166015625,134.540420532227,160.404708862305,220,167,3543.97710636031,7665.74077050568,33.5759141298012,91.4298964783708,1,0
28,-452.39023417208,-316.176838727933,-148.401275502664,12.2816005937944,458.706774226572,-1014.44570994897,-32.7447139857283,-113.263789049071,155.503173828125,135.265411376953,160.614669799805,220,167,3915.70104749809,6961.69048075396,40.387878321275,91.8262567570444,1,0
29,242.200860252138,484.596120055164,147.083843808104,-254.280139616701,541.409867612017,-714.056349925103,47.0738048025118,-105.300969467565,155.958541870117,135.836227416992,160.748565673828,220,167,3716.2593893441,8179.38877268541,35.748831753444,92.030979782984,1,0
30,1351.80975405931,910.482910957093,568.245253410186,-435.907441060363,699.803714318718,-605.078044119717,131.461313005437,-101.969291962244,155.344619750977,135.363632202148,160.680145263672,220,167,3453.00818997878,7238.14281379202,36.2706761520731,86.6934339458476,1,0
31,1201.72890168699,669.54166528087,380.741635796055,-369.449712702111,644.639671655807,-802.66577275958,82.8832518724663,-109.411836174837,154.098678588867,133.028945922852,160.177398681641,220,167,3502.41997814288,7936.7063332381,31.082207352683,94.4622926527436,1,0
32,961.921522032558,324.584649960515,252.720922783274,-303.082700660916,583.680883397665,-854.556396048819,65.9554086352018,-124.827935349036,153.212783813477,131.432418823242,159.709182739258,220,167,3902.66038106715,8541.31467127662,37.3446768587388,89.7944991222158,1,0
33,833.146821481139,94.8306266833871,91.6129585544651,-322.661693648406,543.165293900953,-966.497678052966,38.8554211293783,-125.452384898187,152.778274536133,130.443801879883,159.323837280273,220,167,3844.4158847596,7899.41903835522,36.0233125816361,91.1385636677115,1,0
34,59.511685668781,-475.950605719666,-158.554415153786,-84.3444374822224,526.836781340088,-1128.54184380567,-21.4621456091895,-109.554097122031,152.629791259766,130.058532714844,158.992492675781,220,167,3640.01522297118,8426.44912705543,40.9835325137316,95.2023501379491,1,0
35,-753.71372430082,-716.349692566705,-331.585274464183,117.892088453291,393.021008055893,-988.042826677914,-79.1927257406541,-115.616006666736,153.324935913086,130.682113647461,158.996429443359,220,167,3786.84378242374,8028.27408421569,36.5836698710806,94.2200813370236,1,0
36,-1494.44337603824,-860.611664561643,-389.953449508566,165.397491292658,362.308991245812,-1054.89752990637,-88.7069047343285,-108.657612493331,154.317001342773,132.099334716797,159.288269042969,220,167,3573.36140962172,8097.44610454294,38.0321264845109,87.8310207884576,1,0
37,-1793.72459919064,-908.532543514924,-501.006321004993,211.347122082748,355.902404955052,-1062.7090232742,-113.01150196802,-127.48710331528,155.476577758789,133.766586303711,159.822784423828,220,167,3312.10627734414,7996.56990011233,35.2297058373435,100.248298463912,1,0
38,-2099.21624950816,-927.197622523474,-561.313253080203,181.024420201767,323.718379188345,-1069.02475842255,-117.437980336084,-116.680118761406,156.824676513672,135.803848266602,160.571334838867,220,167,3315.13146619657,7836.56478695558,36.505157111075,93.340971983453,1,0
39,412.530668697842,885.435239593949,-239.192390755351,-689.73975262846,340.61490445595,-593.747249229181,-48.2378856129918,-70.1593206826535,158.157150268555,137.986312866211,161.373031616211,220,167,0,8134.39243419434,-3.99154335300871,95.3327779551936,0,0
40,1258.57650244979,915.47496492034,87.345413459365,-804.558043864854,461.205019538621,-602.310251691681,29.1065446954521,-81.6610418286486,157.005126953125,138.931671142578,161.183837890625,220,167,0,7160.86676442611,-6.83411887799629,89.8525936409208,0,0
41,2541.07376524738,1330.45339424799,537.384847144086,-1008.23855300935,593.033967314728,-504.092028208215,127.226365796773,-66.3878592519116,155.66276550293,138.55436706543,160.679138183594,220,167,0,8533.14346583249,-11.2208577412077,96.2150959462292,0,0
42,3442.44274476924,1641.93570160336,842.586339779702,-1070.51953939445,679.60605514664,-465.784905294534,180.214553701223,-100.482632349182,153.783813476562,136.221374511719,159.712799072266,220,167,0,8416.65989170629,-12.9808449070235,100.274302227481,0,0
43,3293.40797282614,1323.35061952107,751.06266768522,-976.264568074916,698.270886207233,-487.734185353121,166.967745519062,-78.5111121334622,151.516235351562,133.030059814453,158.390090942383,220,167,0,8862.27193866918,-12.8506967868043,90.94891657608,0,0
44,2208.0576156852,820.951840903049,180.506558664558,-778.357498270008,581.262857485335,-842.625270610741,48.9234576187805,-88.744938044423,149.529235839844,130.094421386719,157.157363891602,220,167,0,7995.97662297086,-11.0642175941471,94.176264521085,0,0
45,-2966.95854704912,-772.389240715198,-283.500301751405,-572.372961572511,427.835643668462,-2016.58842213413,-58.1636344409758,-129.18173295992,148.991912841797,129.409149169922,157.138671875,220,167,0,13572.6650984583,3.93553163156278,135.404524088039,0,1
46,-3743.59334251554,-1288.70159332299,-503.311839660821,-428.564102731244,364.962405864878,-2235.39152048239,-112.60830746546,-144.923068502355,150.130294799805,130.461059570312,158.215682983398,220,167,0,13200.5662618259,-1.98585126299701,134.772077349493,0,1
47,-458.25641969523,-651.681213444687,-521.542526413256,-388.092868854322,290.314860465001,-1549.97769118629,-123.850901315883,-52.7068057738722,151.405639648438,132.239959716797,158.803283691406,220,167,0,7749.4637051813,0.600811652542993,90.2219938795624,0,0
48,-1193.46318779398,-918.727486087162,-567.890668728857,-294.750092619624,268.822054594162,-1544.36630777033,-129.683328553455,-45.1424534270809,152.345138549805,134.240997314453,158.958786010742,220,167,0,7689.14462966303,9.02796158990569,91.5975449814844,0,0
49,-3314.04427375397,-1580.06711448223,-704.932268658276,294.57787154025,273.530136315084,-1392.0213675273,-158.452833693274,-184.654354104718,153.620788574219,136.537200927734,159.47021484375,220,167,3439.3959796411,7434.39888381713,40.6271134445144,89.8973219527091,1,0
50,-2193.27052517037,-1072.07610810622,-413.198846912273,299.696747337453,352.236644435901,-1231.05448741599,-100.608243036383,-105.317478635454,155.868545532227,139.335922241211,160.692337036133,220,167,3385.86600941675,7430.44459447997,42.275368711151,94.0426758288975,1,0
51,-1509.80449683746,-613.934896778067,-195.671851299487,154.979090298163,422.154810127826,-996.22705688333,-51.122214923344,-115.060400871067,157.451568603516,141.072189331055,161.535583496094,220,167,3387.58483615022,7427.48907451793,41.6069370235819,93.2913101416461,1,0
52,-897.238756952361,-338.929741806557,-104.236802127157,51.6344761629882,427.043390460272,-830.2294426628,-21.1367650337521,-124.260089539119,158.458694458008,141.936569213867,162.089340209961,220,167,3301.29654898964,7739.08411141768,42.3883363875373,98.5190751895229,1,0
53,-366.314578737372,536.805970870311,227.013684981203,-208.113591375726,498.105793393961,-600.615684398263,42.9317410906675,-92.8560624536582,158.799179077148,142.340667724609,162.418563842773,220,167,3296.70052834321,7786.07170041668,40.3845005902474,90.2259132576275,1,0
54,379.408860856221,618.716461267461,447.972984480681,-320.802317758641,654.1452852534,-669.805756572957,115.427874267077,-93.9986421150926,158.116149902344,141.569107055664,162.530349731445,220,167,3551.23906380682,8504.74576708464,34.1192873129815,98.5781741833349,1,0
55,-251.978906857971,-7.85194484180153,160.328901975434,-177.704948484569,527.153479961246,-918.751694421307,38.6652231884661,-90.3208929846617,157.187240600586,139.704055786133,162.414459228516,220,167,3777.53554405315,7800.48661396653,40.4311519534571,97.016258503951,1,0
56,-1068.00929614602,-694.402354029963,-193.856226901053,75.8717019267359,413.940260067339,-1127.80509294971,-40.6630359488142,-100.704867762728,157.230682373047,139.016860961914,162.497375488281,220,167,3464.97064718867,7494.55391726467,38.9340396762549,92.270273029016,1,0
57,-1435.49232384103,-909.528108759349,-350.346084364237,149.537221323378,386.681636989722,-1041.1304522658,-81.1069493234118,-98.7217147359957,158.236511230469,139.787796020508,162.913269042969,220,167,3369.62676642721,7907.86755756811,37.7064527327157,90.8742315929263,1,0
58,-1926.25776458269,-887.126539481378,-393.440165443674,259.833159271675,323.055712384232,-988.0594546916,-96.5055337753605,-123.740839387424,159.473846435547,141.208557128906,163.510681152344,220,167,3407.64861431412,7135.38957709237,30.7112851982982,95.2023812134354,1,0
59,-2491.1967953879,-1161.03227979922,-553.476991010837,264.549841000336,252.653266706177,-1017.7589913093,-133.307276195803,-133.82948573391,160.857666015625,142.945724487305,164.255905151367,220,167,3276.30666905921,6785.91085126867,37.4193459650566,91.9507826674213,1,0
60,-2725.65257002114,-1215.32392026144,-621.203994098723,216.688314374475,273.264917093714,-1000.10233373172,-137.508221550336,-154.344758463793,162.431869506836,145.246200561523,165.195114135742,220,167,3260.56041745354,6475.43703204284,43.4657934892744,91.2900482765735,1,0
61,-3157.65330480582,-1284.26321900217,-629.707549793087,267.649824363138,214.695343187345,-1130.89956930356,-138.766584734842,-178.925834439799,164.109603881836,147.726196289062,166.299896240234,220,167,3335.59898725779,7252.86608913711,45.4707573736337,91.947820758725,1,0
62,-3163.71277536657,-1217.01342851244,-618.042685966245,283.845204804968,195.874230222169,-991.568818962876,-141.244575077952,-186.729966038396,165.850326538086,150.237686157227,167.517654418945,220,167,3000.12020022922,6547.2026213822,43.1502195654538,92.3430124587862,1,0
63,-1021.55101149479,553.552570163288,-352.087975948731,-461.640874333946,230.810885558307,-455.164524078624,-76.359790127129,-75.8015392205365,167.509582519531,152.807342529297,168.724548339844,220,167,0,7091.7015680748,6.44406101927422,89.9140259174402,0,0
64,-694.028794969111,447.830756783896,-125.854225620795,-535.445921138868,358.113429422873,-559.312857490762,-26.2811101359979,-49.5576746883381,166.825592041016,154.370010375977,169.171020507812,220,167,0,7034.51573842006,3.83640075308884,93.8136163186672,0,0
65,934.698638035404,787.371328832495,322.88707947646,-727.974582977855,454.732575379468,-650.778393274687,79.2763899191269,-63.2301346705939,166.110427856445,155.022003173828,169.426727294922,220,167,0,7430.14621637318,1.01431888906184,93.9663441317911,0,0
66,2422.8429054416,1231.39912775868,669.786262497924,-888.700946295674,571.353904731216,-489.518295171077,136.323518347375,-79.4093966827334,164.95539855957,153.679382324219,169.094711303711,220,167,0,7589.87205385675,-11.7651022676139,92.38363304425,0,0
67,3128.96022960594,1395.5882158225,802.648730835989,-899.86363045873,605.79880113376,-335.623713476563,178.062152885862,-96.2781077804623,163.204116821289,150.970626831055,168.181381225586,220,167,0,7432.02792014418,-12.2497716597399,93.070680475049,0,0
68,3161.73598901996,1421.22372898577,718.691026707963,-914.349063979744,667.222225590426,-422.077863421563,172.37800143795,-107.670455933951,161.26106262207,147.689559936523,167.046249389648,220,167,0,8269.0862928855,-5.15168392099759,92.5961831420838,0,0
69,3112.29818479529,1230.17049379355,565.445033633718,-904.968467942739,525.788503063465,-533.860098312141,136.384218181608,-75.3580640611602,159.307083129883,144.663772583008,165.807998657227,220,167,0,7403.07563930005,-6.55158480808717,90.4826190184219,0,0
70,2462.00295068558,866.498787058306,321.309134034304,-818.624439952579,525.388124718592,-808.731293702973,88.6991385658674,-88.8165205401641,157.521286010742,142.2734375,164.639205932617,220,167,0,8478.16698534634,-9.07316358270532,91.0421246064399,0,0
71,1707.91147073783,418.918765462181,125.561073051027,-663.494869181593,441.840038361242,-981.744010288745,27.5731193214982,-86.5573534941263,156.299865722656,140.842895507812,163.721298217773,220,167,0,8131.63670787014,-10.2419488766428,92.7036320970687,0,0
72,749.66384051738,-325.41763244969,-105.536271680295,-557.124718413044,410.71540127104,-1411.93662941476,-31.9926835461862,-57.6035982037373,155.684066772461,140.423004150391,163.072250366211,220,167,0,7827.98073493042,-4.78580723375759,99.8012741385715,0,0
73,-1650.40491246071,-1155.92057301761,-376.78164061112,275.016542737872,338.902173846129,-1368.11548451642,-76.8034918223389,-99.6289535758117,156.057525634766,140.853851318359,162.755416870117,220,167,3703.95204651491,7966.94776447345,39.8854740552933,96.7459906213974,1,0
74,-2118.87734759096,-1101.49572548592,-383.358312255072,296.004245110519,320.317144648747,-1165.62514210429,-96.554428817716,-102.180282939323,157.739440917969,142.229248046875,163.395599365234,220,167,3161.56527555192,7225.91359075065,43.4037828367638,89.7993367260638,1,0
75,-2051.58685104868,-1133.77137712182,-450.237111544227,254.633378926193,262.003337743046,-1157.65049414843,-100.621543995597,-126.760222232738,159.416152954102,143.916259765625,164.16975402832,220,167,3522.60958311079,7898.07580466973,42.3874572627822,97.7168706562303,1,0
76,-1247.53196900546,-770.888447634197,-294.938981756745,203.901494620653,344.925430335853,-958.274025814835,-63.3029459534322,-125.971319515771,161.032669067383,145.670547485352,164.997497558594,220,167,3481.24916354851,7635.5229472367,41.0485988093233,98.1648057867618,1,0
77,-718.269874796031,123.463787497716,75.98341035198,-88.7725628241823,430.952116558605,-653.92909109488,42.3553139511898,-115.351044356052,162.031311035156,146.838958740234,165.527786254883,220,167,3720.19722072947,7087.34570254889,40.0390306124644,94.8285552492131,1,0
78,142.047512046364,640.168765400841,460.823704574197,-296.76429771351,621.145932013645,-620.233326165945,116.394577574473,-75.2475405997265,161.743682861328,146.377288818359,165.779891967773,220,167,3703.02011281403,7538.12103850109,33.7243916410095,98.6167909531967,1,0
79,-38.7582105637134,166.13053896262,270.349142384889,-219.945626943044,532.599463226409,-774.177698958121,51.6897328772256,-85.1458376712787,160.822891235352,144.482681274414,165.696044921875,220,167,3578.11153545097,7848.25203413911,40.9360754459018,93.7045350187766,1,0
80,-679.830836819541,-594.05886876594,-97.4542938790198,54.1740327679939,431.88941641771,-1044.52391923486,-23.9511373671773,-92.4654356362574,160.57585144043,143.533599853516,165.723281860352,220,167,3384.06925150015,7847.54806267856,39.7866446593473,91.7791574727673,1,0
81,-1310.23871309345,-646.900164941349,-239.951836176576,101.937958437862,365.108011987446,-972.322619882648,-60.9417673684255,-96.5630993252514,161.432006835938,143.983200073242,166.018676757812,220,167,3423.35299185679,7120.49386791696,39.6681936493885,95.3533661387287,1,0
82,-1810.69523142144,-887.074149832604,-409.5029204755,207.406396483036,302.817862069919,-927.14947076905,-88.573396236739,-114.124947190395,162.507186889648,145.102386474609,166.498779296875,220,167,3192.46538784944,7486.88396280074,44.588463685634,95.3748397214535,1,0
83,-2126.96451382427,-949.382002166547,-466.71188255395,257.220852953341,293.163012717805,-978.260835685825,-113.219206627178,-135.032218721197,163.784469604492,146.643402099609,167.150115966797,220,167,3637.00103767791,7035.87027324276,36.4993205001235,88.506887388409,1,0
84,-2997.8422563146,-1171.771494356,-610.528928683093,292.67731168659,235.213307168177,-1097.27177878356,-141.734320781568,-147.56719752153,165.162078857422,148.64680480957,167.938751220703,220,167,3487.70483839665,6764.49111803122,45.6168384175727,97.5827811101743,1,0
85,-2892.60346778351,-1053.09424313871,-522.004887967003,264.324513650621,248.996327320854,-1013.35843982644,-125.210391425821,-146.336395475069,166.84342956543,151.105621337891,169.024612426758,220,167,3237.71447527613,7262.41341100585,42.2892883225859,97.8579731453113,1,0
86,-2073.95765227863,-651.772236070376,-374.202254637198,181.089520120305,319.054790839692,-728.406880249554,-80.8304368710443,-103.677806079459,168.370819091797,153.23649597168,170.085525512695,220,167,3364.36913583608,6987.2849453823,38.0643339876631,90.3899892516746,1,0
87,1113.14653688603,1146.56152058568,113.147412684537,-727.630343649305,394.22186743893,-343.891948299557,47.0363795355884,-72.466103126262,169.315383911133,154.759704589844,170.859924316406,220,167,0,7499.6789438353,-1.21230848435741,92.5545109354019,0,0
88,1895.15538285394,1221.21884038087,444.573653396137,-859.946728349451,511.689213973631,-396.481288379542,92.3736825454159,-74.6117873123666,167.76286315918,154.2412109375,170.416122436523,220,167,0,7675.81138978232,-5.94846644989289,95.8259620169245,0,0
89,3632.47646499233,1832.65588540533,972.794850972659,-1167.54077397974,622.035166164532,-179.346133591969,201.361567977066,-81.9237729409136,165.99739074707,152.434310913086,169.66535949707,220,167,0,8078.49568503105,-20.6596531731808,98.594271660401,0,0
90,4715.30617656778,2086.87439187435,1120.83276636475,-1195.66078279172,787.404992094879,-183.056003446768,220.986512463367,-90.0931278292915,163.42578125,148.498626708984,168.255905151367,220,167,0,7415.68534994412,-17.737499492002,103.339547032198,0,0
91,4901.54982050422,2004.12283122764,1118.76499397636,-1181.88755513438,828.616289656386,-197.591436451965,239.97097250392,-108.364894101875,160.461837768555,143.89323425293,166.486938476562,220,167,0,8339.84406544239,-23.2524695978137,93.5505438438995,0,0
92,4588.41923384715,1835.63373973455,911.537169630448,-1120.87832282423,710.532080453655,-278.381091553411,198.712786138865,-95.5014489319725,157.564468383789,139.227737426758,164.676132202148,220,167,0,7693.08828857494,-17.44496980479,95.0380881120323,0,0
93,3542.27849863218,1318.51340409721,515.429226760884,-969.432290445322,545.748025072643,-604.942561070719,117.729808793773,-73.5047682594969,154.900054931641,135.406005859375,162.926055908203,220,167,0,7788.6853341849,-18.638635824792,91.7808752924251,0,0
94,2154.16232569539,539.576740677472,0.485979787756627,-719.07751179154,495.793053913009,-1022.53102347819,14.8412950841601,-77.0861993501624,152.997253417969,133.399032592773,161.588653564453,220,167,0,7975.69703358341,-9.69962183004237,92.418603221565,0,0
95,1197.8990964894,-343.523814581517,-260.668295987396,-552.51604614932,428.349427008071,-1505.21636043383,-48.2186825219121,-57.8747253799044,152.314102172852,133.315765380859,160.78694152832,220,167,0,8065.59159726643,-8.71280893082183,89.5585643525011,0,0
96,-168.118457893327,-637.400314171082,-434.699026429279,-417.626148483255,340.891329631603,-1474.11197722343,-84.540341582382,-38.243477128154,152.807861328125,134.425521850586,160.368865966797,220,167,0,8349.10031907875,-1.23738370316533,93.5789971446264,0,0
97,-2434.95604265482,-1396.00802868856,-503.621362748421,320.651068628135,352.173842006063,-1266.44357805455,-122.450331873417,-113.890761003585,153.749526977539,136.148803710938,160.471710205078,220,167,3337.21954202745,7743.57922059061,35.864329732613,89.311772592113,1,0
98,-2598.09695033146,-1290.31545467029,-552.192003365671,279.385434669772,326.10590654851,-1357.70444938979,-127.960450703933,-128.801585913024,155.701614379883,138.279876708984,161.354598999023,220,167,3272.11888006728,8004.37193803704,38.1260530420369,98.6772522964934,1,0
99,-1784.83949869525,-988.917679409351,-365.776243202142,244.313570047132,377.650317877459,-1020.57202483795,-72.0890844753366,-113.173754771426,157.596252441406,140.570709228516,162.314712524414,220,167,3638.22581259776,7257.08980540791,42.5477931989273,100.322685312665,1,0
100,-909.573821898723,-462.530160337168,-208.358777627671,69.6380804808929,376.927814465777,-903.887020584572,-43.3637380042612,-113.426405772642,158.891799926758,141.940231323242,162.953765869141,220,167,3531.83950989361,7929.43647864339,41.818014461566,88.5798013717067,1,0
101,-410.966367202357,304.769976183322,49.936450147405,-134.243802832757,493.195217305795,-700.805669011888,19.9181558423778,-100.730655284355,159.626571655273,142.78791809082,163.355010986328,220,167,3524.83091063453,7264.95463129847,39.1078141416016,91.915178824746,1,0
102,-65.2685001346372,502.971445677476,304.625256592369,-237.386244935965,567.513205071493,-717.588410889782,91.2401639149502,-71.8404344766612,159.244476318359,142.499557495117,163.569595336914,220,167,3949.63626118837,8558.6052237598,38.8951300815761,94.343374575213,1,0
103,-256.12787621995,-217.003724985612,110.954953294324,-116.201100037579,536.451963357553,-1060.91836522599,27.2224712032017,-85.762825642508,158.51838684082,141.165252685547,163.618713378906,220,167,3631.23672566334,7373.55987222703,34.8579753746841,93.3332132255388,1,0
104,-1673.08099389375,-910.929392615132,-322.870059214516,149.386269905622,378.006360232944,-1140.34975999182,-75.5324367214572,-97.0074497036006,158.809692382812,140.72135925293,163.77864074707,220,167,3374.52594942531,7822.1721799099,39.8009921070448,94.7314536594071,1,0
105,-2005.3556955892,-1012.00473545603,-437.162900127112,231.812804151699,342.290354223538,-947.079002226835,-94.609748239308,-96.0905771097837,160.067810058594,141.967376708984,164.382659912109,220,167,3340.53045339377,7482.45390559347,39.2223002444339,95.020649079051,1,0
106,-2230.75221513061,-1059.20505284844,-490.464332014943,235.148724258439,314.746088536563,-985.836323378516,-111.189693430225,-133.514216488764,161.433044433594,143.74299621582,165.103057861328,220,167,3274.93930529862,7313.70325567719,40.9803298664708,89.6014197218984,1,0
107,-2402.16091667478,-1014.17832955583,-625.263265861397,267.612351671636,235.554598283335,-966.734066712961,-139.895489358285,-130.901460823829,162.950668334961,145.696105957031,165.969329833984,220,167,3262.6828952055,7822.58760127178,45.6842125285959,91.5481487142924,1,0
108,-2905.20928995707,-1241.043986668,-607.09698805543,232.128734090566,202.35932023119,-1096.87230654578,-135.505037547192,-150.478731207234,164.508056640625,148.077239990234,166.93034362793,220,167,3460.36393000449,7057.74295112246,38.0700050228395,95.2403195441307,1,0
109,-3723.42365399107,-1411.21610346092,-747.599735493174,291.236276899822,162.502007625824,-1179.3842045139,-163.546707550616,-204.724239121506,166.15446472168,150.505661010742,168.042236328125,220,167,3189.6102524788,7276.12240569849,41.2023154703385,88.6924188709427,1,0
110,-3031.57512070588,-1165.04788757035,-640.700614702756,233.070003489201,207.092613474792,-970.757872977262,-144.889521240886,-182.812100278327,168.14567565918,153.412246704102,169.449768066406,220,167,3416.28276054236,7151.31008582672,44.0356033483002,99.9752200611199,1,0
